,currency,amount,time,rate,place
0,SGDUSD,20000.0,2020-9-25,1.384377,dbs
1,SGDUSD,20000.0,2020-9-28,1.383182,dbs
2,SGDUSD,3000.0,2020-9-29,1.371,dbs
3,SGDUSD,20091.0,2020-10-22,1.36735,dbs
4,SGDUSD,15000.0,2020-11-6,1.357606,dbs
5,SGDUSD,20000.0,2020-11-26,1.351398,dbs
6,SGDUSD,26000.0,2020-12-24,1.339015,dbs
7,SGDUSD,19700.0,2021-2-4,1.346569,dbs
8,SGDUSD,30000.0,2021-2-18,1.3388,dbs
9,SGDUSD,13000.65625,2021-3-2,1.33125,ib
10,SGDUSD,24970.0,2021-3-4,1.33168,ib
11,SGDUSD,10000.0,2021-4-19,1.33404,ib
12,SGDUSD,39712.8476,2021-4-23,1.3289,ib
13,SGDUSD,1997.9379,2021-4-23,1.3293,ib
