,tick,buy_price,quantity,time,commission,currency
0,D05.SI,20.4,700,2020-09-11,24.61,SGD
1,ME8U.SI,3.11,4000,2020-09-11,21.29,SGD
2,ME8U.SI,2.78,1000,2020-12-20,11.89,SGD
3,AJBU.SI,2.92,2800,2020-09-25,14.2,SGD
4,C2PU.SI,4.16,2000,2020-09-28,14.25,SGD
5,AJBU.SI,2.62,700,2021-03-08,2.5,SGD
6,BABA,267.779,26,2020-09-25,19.26,USD
7,AAPL,113.91,62,2020-09-29,19.26,USD
8,MSFT,208.31,34,2020-09-29,19.26,USD
9,NVDA,534.27,18,2020-10-02,19.26,USD
10,ARKK,97.76,75,2020-10-23,19.26,USD
11,SPY,344.91,22,2020-10-23,19.26,USD
12,ARKW,119.24,33,2020-11-9,19.26,USD
13,ARKG,71.13,98,2020-11-9,19.26,USD
14,BABA,263.53,19,2020-11-30,19.26,USD
15,ARKQ,70.05,71,2020-12-11,19.26,USD
16,ARKF,50.71,96,2020-12-22,19.26,USD
17,BABA,224.01,23,2020-12-24,19.26,USD
18,BABA,226.01,23,2020-12-24,19.26,USD
19,FB,260.21,27,2021-01-29,19.26,USD
20,PRNT,47.51,116,2021-02-11,19.26,USD
21,TSLA,805.62,7,2021-02-11,19.26,USD
22,SOXX,439.81,12,2021-02-16,19.26,USD
23,U,116.52,47,2021-02-18,19.26,USD
24,TSLA,724.5,7,2021-02-22,19.26,USD
25,PRNT,40.38,116,2021-02-25,19.26,USD
26,QQQ,314.1,8,2021-03-3,1.0,USD
27,ARKG,92.19,30,2020-03-3,1.0,USD
28,ARKQ,84.31,25,2020-03-4,1.0,USD
29,ARKK,125.86,20,2020-03-4,1.0,USD
30,U,99.01,47,2021-03-05,1.0,USD
31,SOXX,395.8,12,2021-03-5,1.0,USD
32,TSLA,644.0,8,2021-03-5,1.0,USD
33,CQQQ,92.66,25,2021-03-5,1.0,USD
34,CQQQ,83.39,25,2021-03-24,1.07,USD
35,ARKW,148.15,13,2021-04-20,1.07,USD
36,SOXX,428.1,100,2021-04-23,1.03,USD
